! This data is for documentation purposes only. It corresponds to a real source 
! at gamma energies from 0.1 to 200GeV from Fermi, with some artificial errors 
! added in all columns. For simplicity upper limits and flux have been combined.
! Use of this data outside testing and documentation for MUTIS is not allowed.
! jyear, Flux [ph/cm2/s], CFluxErr [ph/cm2/s]
jyear,CFlux,CFluxErr
2017.6317590691308,3.462808e-08,1.6585e-08
2017.6509240246407,6.072663e-08,1.8269e-08
2017.6700889801505,9.719598e-08,2.908e-08
2017.6892539356604,8.552676e-08,2.7629e-08
2017.7084188911704,3.91158e-08,1.5411e-08
2017.7275838466803,5.727973e-08,1.6504e-08
2017.7467488021903,5.764395e-08,1.8061e-08
2017.7659137577002,5.270178e-08,1.5761e-08
2017.7850787132102,7.614534e-08,2.3451e-08
2017.8042436687201,4.79123e-08,2.3113e-08
2017.82340862423,6.072999e-08,2.9599e-08
2017.84257357974,9.953091e-08,3.4921e-08
2017.8617385352497,1.455475e-07,3.551e-08
2017.8809034907597,9.175938e-08,3.1282e-08
2017.9000684462696,1.707995e-07,3.3058e-08
2017.9192334017796,8.754949e-08,2.6354e-08
2017.9383983572895,9.625973e-08,3.1945e-08
2017.9575633127995,9.944729e-08,3.364e-08
2017.9767282683094,4.580974e-08,2.0867e-08
2017.9958932238194,1.351073e-07,3.3038e-08
2018.0150581793291,4.688232e-08,1.816e-08
2018.034223134839,1.094317e-07,3.1385e-08
2018.053388090349,9.580391e-08,2.6516e-08
2018.072553045859,8.87787e-08,2.3163e-08
2018.091718001369,1.617076e-07,4.16e-08
2018.1108829568789,1.229442e-07,3.2116e-08
2018.1300479123888,1.147555e-07,3.2423e-08
2018.1492128678988,8.41879e-08,3.1383e-08
2018.1683778234087,8.762348e-08,3.2279e-08
2018.1875427789184,3.634526e-08,1.7091e-08
2018.2067077344284,5.179946e-08,1.7617e-08
2018.2642026009582,1.304975e-07,5.1349e-08
2018.2833675564682,1.304975e-07,5.1349e-08
2018.3025325119781,2.442034e-07,1.3844e-10
2018.321697467488,1.091213e-07,4.1244e-08
2018.340862422998,4.445264e-08,1.4326e-10
2018.3600273785078,3.205344e-08,5.2039e-11
2018.3791923340177,1.218176e-07,3.5776e-08
2018.3983572895277,5.905204e-08,2.128e-08
2018.4175222450376,9.574835e-08,3.6059e-08
2018.4366872005476,7.226423e-08,7.2448e-10
2018.4558521560575,8.972685e-08,4.0479e-08
2018.4750171115675,3.957059e-08,1.7253e-08
2018.4941820670774,5.096658e-08,1.5917e-08
2018.5133470225874,2.765644e-08,9.1297e-09
2018.532511978097,5.403117e-08,1.5332e-08
2018.551676933607,4.17391e-08,1.2296e-08
2018.570841889117,1.390305e-07,4.6079e-08
2018.590006844627,4.499729e-08,1.2569e-08
2018.609171800137,2.007503e-08,1.9882e-10
2018.6283367556468,3.001696e-08,1.3488e-08
2018.6475017111568,7.319948e-08,1.9228e-08
2018.6666666666667,3.51788e-08,4.5803e-10
2018.6858316221767,4.311493e-08,1.6839e-10
2018.7049965776864,4.227293e-08,1.4926e-08
2018.7241615331964,2.259151e-08,8.6074e-09
2018.7433264887063,2.169548e-08,7.1698e-09
2018.7624914442163,5.017097e-08,1.795e-08
2018.7816563997262,3.989689e-08,1.5019e-08
2018.8008213552362,4.519922e-08,1.7044e-08
2018.8199863107461,5.564117e-08,1.7912e-08
2018.839151266256,1.044525e-07,3.2867e-08
2018.8774811772757,9.090419e-08,2.5256e-08
2018.8966461327857,3.190246e-08,1.3372e-08
2018.9158110882956,1.537257e-08,1.0515e-12
2018.9349760438056,3.791101e-08,1.2638e-08
2018.9541409993155,6.030979e-08,1.6014e-08
2018.9733059548255,1.447459e-08,1.0736e-12
2018.9924709103354,2.760838e-08,1.5638e-11
